,name,title,title2,title3,education
276,Maureen F. Morgan,"Director, Child Study Center",Lecturer in Psychology,,"B.S., Lesley College; M.Ed., Harvard University"
277,Carolyn A. Morley A2,Professor of Theatre Studies and Japanese,,,"B.A., Oberlin College; M.A., University of British Columbia; Ph.D., Columbia University"
278,Andrew Mowbray,Lecturer in Art,Director of 3D Arts,,"B.F.A., Maryland Institute College of Art; M.F.A., Cranbrook Academy of Art"
279,Craig N. Murphy,Betty Freyhof Johnson‘44 Professor of Political Science,,,"B.A., Grinnell College; M.A., Ph.D., University of North Carolina (Chapel Hill)"
280,Jacqueline Marie Musacchio,Professor of Art,,,"B.A., Wellesley College; M.A., Ph.D., Princeton University"
281,Eni MustafarajA,Assistant Professor of Computer Science,,,"M.Eng., Polytechnic University of Tirana (Albania); Ph.D., Philipps-Universität Marburg (Germany)"
282,Jennifer Musto,Assistant Professor of Women's and Gender Studies,,,"B.A., DePaul University; M.A., Ph.D., University of California (Los Angeles)"
283,Seth Neumuller A1,Assistant Professor of Economics,,,"B.S., Rice University; M.A., Ph.D., University of California (Los Angeles)"
284,Kanako Nishikawa,Coach/Collaborative Keyboardist,,,"B.M., Toho School of Music (Tokyo); M.M., New England Conservatory"
285,James William Noggle,Marion Butler McLean Professor in the History of Ideas,Professor of English,,"B.A., Columbia University; Ph.D., University of California (Berkeley)"
286,Thomas Nolden,Professor of German Studies,,,"Staatsexamen, Universität Tübingen; M.A., Ph.D., Yale University"
287,Julie K. Norem,Margaret Hamm Professor of Psychology,,,"A.B., University of Chicago; Ph.D., University of Michigan                                     "
288,Abigail Noyce,Visiting Lecturer in Psychology,,,"B.A., University of New Hampshire; M.A., Ph.D., Brandeis University"
289,Megan Núñez,Nan Walsh Schow ‘54 and Howard B. Schow Professor in the Physical and Natural Sciences,Professor of Chemistry,,"B.A., Smith College; Ph.D., California Institute of Technology"
290,Jennifer O’Donnell,Visiting Lecturer in Women’s and Gender Studies,,,"B.A., Wellesley College; M.S., Ph.D., Harvard School of Public Health"
291,Elizabeth Oakes,Senior Instructor in Chemistry Laboratory,,,"B.A., Bryn Mawr College; Ph.D., University of Wisconsin (Madison)"
292,Leah M. Okumura,Instructor in Biological Sciences Laboratory,,,"A.B., University of Chicago; Ph.D., Massachusetts Institute of Technology"
293,James Oles,Senior Lecturer in Art,,,"B.A., Yale University; J.D., University of Virginia; M. Phil., Ph.D., Yale University"
294,Liza OliverA,Diana Chapman Walsh Assistant Professor of Art,,,"B.A., University of North Florida; M.A., University of South Florida; M.A., Ph.D., Northwestern University"
295,David Olsen,Associate Professor of Art,,,"B.F.A., University of Washington (Seattle); M.A., M.F.A., University of Wisconsin (Madison)"
296,Alejandra Osorio,Associate Professor of History,,,"B.A., M.A., New York University; Ph.D., State University of New York at Stony Brook"
297,Geofred Osoro,Lecturer in Africana Studies,,,"B.A., Moi University; M.A., University of Nairobi"
298,Liz Owen,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., University of Minnesota"
299,Kimberly H. O’Donnell,Senior Lecturer in Biological Sciences,,,"A.B., Brown University; Ph.D., Brandeis University"
300,Keri O’Meara,PERA Associate Professor of the Practice,,,"B.A., Montclair State University; Ed.M., Bloomsburg University"
301,Hilary Palevsky,Lecturer in Geosciences,,,"B.A., Amherst College; M.S., Ph.D.,  University of Washington"
302,Kyung ParkA,Assistant Professor of Economics,,,"B.A., M.A., Ph.D., University of Chicago"
303,Sergio Parussa A2,Professor of Italian Studies,,,"Laurea in Lettere, Università degli studi di Torino (Italy); M.A., Ph. D., Brown University"
304,Lata Parwani,Visiting Lecturer in South Asia Studies,,,"B.A., University of Karachi; M.A., Tufts University"
305,Cassandra Pattanayak,"Jack and Sandra Polk Guthman '65 Director, Quantitative Analysis Institute",Lecturer in Quantitative Reasoning and Mathematics,,"A.B., A.M., Ph.D., Harvard University"
306,Timothy Walter Hopkins Peltason,Class of 1949 Professor in Ethics,Professor of English,,"A.B., Harvard College; M.A., Ph.D., Yale University"
307,T. Kaye Peterman,Susan M. Hallowell and Ruby Frances Howe Farwell Professor of Biological Sciences,,,"B.S., Texas A & M University; Ph.D., Duke University"
308,Meghan Peterson,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Wellesley College; M.S., University of Massachusetts (Amherst)"
309,James Michael Petterson,Professor of French,,,"B.A., Reed College; M.A., Columbia University; Ph.D., University of California (Berkeley)"
310,Jessica Polito,Lecturer in the Quantitative Reasoning Program,,,"B.A., Harvard University; Ph.D., University of California (Berkeley)"
311,Kristen Poston,Visiting Lecturer in Psychology,,,"B.A., Wellesley College; M.A., Tufts University; Ph.D., Tufts University"
312,Anjali PrabhuA,Professor of French,,,"B.A., Jawaharlal Nehru University (India); M.A., Purdue University; Ph.D., Duke University"
313,Melissa Price,PERA Assistant Professor of the Practice,,,"B.S., University of Maryland; M.S., Ph.D., University of Virginia"
314,Taryn Provencher,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Syracuse University"
315,Kristina Punzi,Instructor in Astronomy Laboratory and Observatory Manager,,,"B.A., State University of New York (College at Geneseo); Ph.D. Rochester Institute of Technology"
316,Jennie E. Pyers A1,Associate Professor of Psychology,,,"B.A., Smith College; Ph.D., University of California (Berkeley)"
317,Ginny Quinan,Instructor in Neuroscience Laboratory,,,"B.A., Regis College; M.A., Harvard University Extension School"
318,Ryan Alexander Quintana,Associate Professor of History,,,"B.A., University of Tennessee (Knoxville); M.A., Ph.D., University of Wisconsin (Madison)"
319,Mala RadhakrishnanA,Whitehead Associate Professor of Critical Thought,Associate Professor of Chemistry,,"A.B., Harvard University; Ph.D., Massachusetts Institute of Technology"
