,name,title,title2,title3,education
428,"L. Terrell Tyler, Jr.",Associate Professor of English,,,"B.A., Southwestern University (Memphis); M.A., M.Phil., Ph.D., Yale University"
429,Catherine Ulissey,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Emerson College "
430,Adam Van Arsdale,Associate Professor of Anthropology,,,"B.A., B.S., Emory University; M.A., Ph.D., University of Michigan"
431,Didem Vardar-Ulu,Assistant Professor of Chemistry,,,"B.S., Bilkent University (Turkey); Ph.D., Boston University"
432,Carlos Alberto Vega,Professor of Spanish,,,"A.B., Columbia University; A.M., University of Virginia; Ph.D., Harvard University"
433,Ann Velenchik,Associate Professor of Economics,"Director, Writing Program",,"B.S.F.S., Georgetown University; Ph.D., Stanford University"
434,Monica Verity,PERA Assistant Professor of the Practice,,,"B.S., Wagner College; M.S., Boston College"
435,Carla M. Verschoor,Adjunct Assistant Professor of Chemistry,,,"B.S., University of Illinois (Urbana); Ph.D., University of Wisconsin (Madison)"
436,Maurizio S. Viano,Professor of Cinema and Media Studies,,,"Laurea in Lettere Moderne, University of Genova; Ph.D., University of Oregon"
437,Benjamin Vining,Visiting Lecturer in Anthropology,,,"B.A., Colgate University; M.A., Ph.D., Boston University"
438,Lynne Spigelmire Viti,Senior Lecturer in the Writing Program,,,"B.A., Barnard College; M.A., Columbia University; Ph.D., J.D., Boston College"
439,Ismar Volić,Associate Professor of Mathematics,,,"B.A., Boston University; M.A., Ph.D., Brown University"
440,Sarah Wall-Randell,Assistant Professor of English,,,"B.A., Wellesley College; M.Phil, St. John's College (Oxford University); Ph.D., Harvard University"
441,James Wallenstein,Newhouse Visiting Professor of Creative Writing,,,"B.A., Wesleyan University; M.A., Ph.D., University of California (Berkeley)"
442,Maria Waller,Instructor in Geosciences Laboratory,,,"B.A., Wellesley College; M.S., University of Massachusetts"
443,Emily Wanderer,Visiting Lecturer in Anthropology,,,"B.A., Middlebury College; M.A., University of Chicago"
444,Helen P. Wang,Professor of Mathematics,,,"B.A., University of Wisconsin (Madison); M.A., Ph.D., Harvard University"
445,David WardA2,Professor of Italian Studies,,,"B.A., University of East Anglia (England); M.A., Ph.D., Cornell University"
446,Lauri L. Wardell,Senior Instructor in Physics Laboratory,,,"B.S., Fort Lewis College; M.S., University of Kentucky"
447,Kera M. Washington,Senior Music Performance Faculty in African Diaspora,"Drumming Director, Yanvalou",,"B.A., Wellesley College; M.A., Wesleyan University"
448,Lois Wasserspring,Senior Lecturer in Political Science,,,"B.A., Cornell University; M.A., Princeton University"
449,Wesley Andres WattersA1,Diana Chapman Walsh Assistant Professor of Astronomy,,,"B.S., M.S., Ph.D., Massachusetts Institute of Technology "
450,Catherine Wearing,Associate Professor of Philosophy,,,"B.A., McGill University; Ph.D., Harvard University"
451,Deborah Weaver,"Instructor in Physical Education, Recreation and Athletics",,,"Certificate, London School of Contemporary Dance "
452,Dorothy Webb,PERA Associate Professor of the Practice,,,"B.A., University of the Pacific; M.A., Brown University"
453,Andrew C. WebbA,Professor of Biological Sciences,,,"B.S., Ph.D., University of Southampton (England); "
454,Kristen WeeksA1,PERA Assistant Professor of the Practice,,,"B.S., Westfield State College; M.S., University of Massachusetts (Amherst); Ph.D., Simmons College"
455,Akila Weerapana,Associate Professor of Economics,,,"B.A., Oberlin College; A.M., Ph.D., Stanford University"
456,Adam Weiner,Associate Professor of Russian,,,"B.A., M.A., Ph.D., University of Wisconsin (Madison) "
457,Cord J. Whitaker,Assistant Professor of English,,,"B.A., Yale University; M.A., Ph.D. Duke University"
458,Ellen B. WidmerA,Mayling Soong Professor of Chinese Studies,Professor of East Asian Studies,,"B.A. Wellesley College; M.A., Fletcher School of Law and Diplomacy; M.A., Ph.D., Harvard University"
459,Michael Wiest,Assistant Professor of Neuroscience,,,"B.A., Dartmouth College; M.S., Ph.D., Michigan State University"
460,Kristin Williams,Mellon Postdoctoral Fellow in East Asian Languages & Cultures,,,"B.A., Mary Baldwin College; M.A., University of Pennsylvania; Ph.D., Harvard University"
461,Jeremy B. Wilmer,Assistant Professor of Psychology,,,"B.A., Williams College; Ph.D., Harvard University"
462,Tom Wilson,"Instructor in Physical Education, Recreation and Athletics",,,"B.S.Ed., M.A., Central Missouri State University "
463,Paul M. Wink,Nellie Zuckerman Cohen & Anne Cohen Heller Professor in Health Sciences,Professor of Psychology,,"B.A., M.A., University of Melbourne; Ph.D., University of California (Berkeley)"
464,Adele Wolfson,Nan Walsh Schow '54 and Howard B. Schow Professor in the Physical and Natural Sciences,Professor of Chemistry,,"B.A., Brandeis University; Ph.D., Columbia University"
465,Kara Wong,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Wellesley College "
466,Joshua Wood,Visting Lecturer in Philosophy,,,"B.A., University of Missouri (St. Louis); Ph.D., Boston University"
